Season,Regular season,Tournament
1997,Kansas,Kansas
1998,Kansas,Kansas
1999,Texas,Kansas
2000,Iowa State,Iowa State
2001,Iowa State,Oklahoma
2002,Kansas,Oklahoma
2003,Kansas,Oklahoma
2004,Oklahoma State,Oklahoma State
2005,Kansas†,Oklahoma State
2006,Kansas†,Kansas
2007,Kansas,Kansas
2008,Kansas†,Kansas
2009,Kansas,Missouri
2010,Kansas,Kansas
2011,Kansas,Kansas
2012,Kansas,Missouri
2013,Kansas†,Kansas
2014,Kansas,Iowa State
2015,Kansas,Iowa State
2016,Kansas,Kansas
2017,Kansas,Iowa State
2018,Kansas,Kansas
2019,Kansas State†,Iowa State
2020,Kansas,
2021,Baylor,Texas
2022,Baylor†,Kansas
2023,Kansas,Texas
