Season,Regular Season,Tournament
1997,Texas,Texas
1998,Texas,Texas A&M
1999,Texas,Texas
2000,Baylor,Texas A&M
2001,Texas A&M,Texas A&M
2002,Baylor,Baylor
2003,Baylor,Baylor
2004,Baylor,Baylor
2005,Baylor,Baylor
2006,Baylor†,Texas
2007,Baylor,Baylor
2008,Baylor†,Baylor
2009,Baylor,Baylor
2010,Texas,Texas
2011,Baylor,Texas A&M
2012,Oklahoma,Oklahoma
2013,Baylor,Oklahoma
2014,Baylor†,Baylor
2015,Oklahoma†,Oklahoma
2016,TCU†,TCU
2017,TCU,TCU
2018,TCU,Texas
2019,Texas,Baylor
2021,Baylor†,Baylor
2022,TCU,Baylor
2023,Texas,TCU
